"name" "long" "lat"
"292" "Bedford Ave & S 9 St" -73.96408963 40.70853074
"293" "Monroe St & Classon Ave" -73.95881081 40.6845683
"294" "York St & Jay St" -73.98656928 40.7014851
"295" "Harrison St & Hudson St" -74.0090009 40.71870987
"296" "W 52 St & 11 Ave" -73.99392888 40.76727216
"297" "W 11 St & 6 Ave" -73.99800419 40.73532427
"298" "Water - Whitehall Plaza" -74.0127234 40.70255065
"299" "Lexington Ave & E 63 St" -73.96648977 40.76440023
"300" "E 6 St & Avenue B" -73.98185424 40.72453734
"301" "W 31 St & 7 Ave" -73.9916 40.749156
"302" "MacDougal St & Washington Sq" -73.99852205 40.73226398
"303" "Clinton St & Joralemon St" -73.99337909 40.69239502
"304" "Kent Ave & N 7 St" -73.9616507291794 40.7203677529846
"305" "5 Ave & E 73 St" -73.96685276 40.77282817
"306" "West Thames St" -74.01713445 40.70834698
"307" "E 72 St & Park Ave" -73.9640942215919 40.7711828754066
"308" "11 Ave & W 59 St" -73.990541 40.771522
"309" "Penn Station Valet" -73.9969244599342 40.7512835969623
"310" "E 55 St & Lexington Ave" -73.97031366 40.75968085
"311" "Norfolk St & Broome St" -73.98802084 40.7172274
"312" "Cherry St" -73.97948148 40.71219906
"313" "Metropolitan Ave & Bedford Ave" -73.96024116 40.71534825
"314" "E 67 St & Park Ave" -73.9659208059311 40.7678008014813
"315" "E 61 St & Park Ave" -73.9691045880318 40.7642100716906
"316" "E 25 St & 1 Ave" -73.97738662 40.7381765
"317" "Nassau Ave & Russell St" -73.94434 40.72557
"318" "W 64 St & West End Ave" -73.98753759 40.77452835
"319" "W 34 St & 11 Ave" -74.0021163 40.75594159
"320" "South St & Gouverneur Ln" -74.00670227 40.70355377
"321" "E 12 St & 3 Ave" -73.98889957 40.73223272
"322" "FDR Drive & E 35 St" -73.97121214 40.744219
"323" "44 Dr & Jackson Ave" -73.9432635 40.74718234
"324" "Riverside Blvd & W 67 St" -73.9888858795166 40.777507027548
"325" "E 43 St & 2 Ave" -73.97121414 40.75022392
"326" "E 75 St & 3 Ave" -73.95772297 40.77112927
"327" "3 Ave & E 62 St" -73.96526895 40.76312584
"328" "W 53 St & 10 Ave" -73.99061728 40.76669671
"329" "Hanson Pl & St Felix St" -73.9771136641502 40.6851595998918
"330" "E 84 St & Park Ave" -73.95772073 40.77862688
"331" "Bank St & Washington St" -74.00859207 40.7361967
"332" "N 8 St & Driggs Ave" -73.95600096 40.71774592
"333" "Kingston Ave & Herkimer St" -73.94142771 40.67890679
"334" "Wythe Ave & Metropolitan Ave" -73.963198 40.716887
"335" "E 51 St & 1 Ave" -73.96592976 40.75455731
"336" "E 14 St & Avenue B" -73.97772429 40.72938685
"337" "E 41 St & Madison Ave" -73.9799219369888 40.752165280622
"338" "Columbia Heights & Cranberry St" -73.99548059 40.70037867
"339" "Henry St & Grand St" -73.981346 40.714215
"340" "Concord St & Bridge St" -73.98476437 40.69766564
"341" "Fulton St & Utica Ave" -73.9298911 40.6794268
"342" "MacDougal St & Prince St" -74.00297088 40.72710258
"343" "Barrow St & Hudson St" -74.00674436 40.73172428
"344" "Graham Ave & Herbert St" -73.94500379 40.71929301
"345" "Center Blvd & Borden Ave" -73.96044 40.74161
"346" "St James Pl & Pearl St" -74.00016545 40.71117416
"347" "21 St & 43 Ave" -73.94594845 40.75052534
"348" "Spruce St & Nassau St" -74.00552427 40.71146364
"349" "31 St & Thomson Ave" -73.93540375 40.74469738
"350" "Broadway & W 51 St" -73.98336183 40.76228826
"351" "Bond St & Fulton St" -73.9830426871777 40.6896218879033
"352" "E 52 St & 2 Ave" -73.967416 40.756014
"353" "Broadway & W 36 St" -73.98765428 40.75097711
"354" "Atlantic Ave & Fort Greene Pl" -73.97632328 40.68382604
"355" "Willoughby St & Fleet St" -73.9813018 40.69196566
"356" "Front St & Gold St" -73.982578 40.70224
"357" "Scholes St & Manhattan Ave" -73.9448625 40.70870368
"358" "State St & Smith St" -73.98912867 40.68926942
"359" "Maiden Ln & Pearl St" -74.00731853 40.70706456
"360" "Little West St & 1 Pl" -74.01677685 40.70569254
"361" "Washington Pl & 6 Ave" -74.00026394 40.73224119
"362" "Duffield St & Willoughby St" -73.9842844 40.69221589
"363" "Lexington Ave & Classon Ave" -73.95928168 40.68676793
"364" "E 47 St & 1 Ave" -73.96784384 40.75206862
"365" "Centre St & Worth St" -74.00234482 40.71494807
"366" "Cliff St & Fulton St" -74.00530063 40.70823502
"367" "St Marks Pl & 1 Ave" -73.98564945 40.72779126
"368" "W 14 St & The High Line" -74.00803013 40.74195138
"369" "Nassau Ave & Newell St" -73.947526216507 40.7248125644002
"370" "Central Park West & W 68 St" -73.97782542 40.7734066
"371" "Dean St & 4 Ave" -73.97895137 40.68312489
"372" "Madison St & Clinton St" -73.98776323 40.71269042
"373" "University Pl & E 8 St" -73.9949034154415 40.7314372408523
"374" "Old Fulton St" -73.99383605 40.70277159
"375" "India St & East River" -73.96161892 40.73165141
"376" "Devoe St & Leonard St" -73.94792458 40.71348658
"377" "Myrtle Ave & Lewis Ave" -73.93756926 40.69681963
"378" "Hope St & Union Ave" -73.95141312 40.71167351
"379" "S 4 St & Rodney St" -73.95608 40.70934
"380" "Myrtle Ave & Marcy Ave" -73.94954908 40.69539817
"381" "Mercer St & Spring St" -73.99949601 40.72362738
"382" "Stagg St & Union Ave" -73.95095259 40.70877084
"383" "S 4 St & Wythe Ave" -73.96590294 40.71285887
"384" "Lewis Ave & Kosciuszko St" -73.93705428 40.69237074
"385" "Central Park West & W 76 St" -73.97374737 40.77896784
"386" "DeKalb Ave & Skillman St" -73.95643107 40.6906495
"387" "W 43 St & 6 Ave" -73.98316936 40.75527307
"388" "46 Ave & 5 St" -73.95451 40.74731
"389" "E 11 St & 2 Ave" -73.98672378 40.73047309
"390" "Schermerhorn St & Court St" -73.991833627224 40.6910292567797
"391" "Macon St & Nostrand Ave" -73.9500479759 40.6809833854
"392" "Lafayette Ave & St James Pl" -73.9647628 40.68851534
"393" "E 60 St & York Ave" -73.959223 40.759107
"394" "Henry St & Atlantic Ave" -73.99612349 40.69089272
"395" "W 78 St & Broadway" -73.98093133 40.78339981
"396" "Leonard St & Boerum St" -73.94644578 40.70583339
"397" "Central Park West & W 85 St" -73.96961715 40.78472675
"398" "Avenue D & E 8 St" -73.97574813 40.72368361
"399" "East End Ave & E 86 St" -73.94446054 40.77518615
"400" "Hudson St & Reade St" -74.0091059 40.71625008
"401" "3 Ave & E 71 St" -73.96119945 40.76873687
"402" "Johnson St & Gold St" -73.98362464 40.69474881
"403" "Carlton Ave & Park Ave" -73.97355569 40.69580705
"404" "Cadman Plaza E & Tillary St" -73.99014892 40.69597683
"405" "Marcus Garvey Blvd & Macon St" -73.938037 40.682601
"406" "Adelphi St & Myrtle Ave" -73.97178913 40.69308257
"407" "Humboldt St & Varet St" -73.940636 40.7031724
